,Position,Track Name,Artist,Streams,URL,Date,Region
3339880,37,Panda,Desiigner,1123,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-02,gr
3339881,38,The Mack,Nevada,1122,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-02,gr
3339882,39,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1114,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-02,gr
3339883,40,Human,Rag'n'Bone Man,1108,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-02,gr
3339884,41,Six Feet Under,The Weeknd,1095,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2017-01-02,gr
3339885,42,Alli Mia Efkeria,Padelis Padelidis,1094,https://open.spotify.com/track/0jRcwtTkpoGPAlhdHMYHaJ,2017-01-02,gr
3339886,43,Sidewalks,The Weeknd,1059,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2017-01-02,gr
3339887,44,"How Far I'll Go - From ""Moana""",Alessia Cara,1041,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-02,gr
3339888,45,Work from Home,Fifth Harmony,1035,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-02,gr
3339889,46,Weak,AJR,1010,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-02,gr
3339890,1,Starboy,The Weeknd,5026,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,gr
3339891,2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3062,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,gr
3339892,3,Closer,The Chainsmokers,2820,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,gr
3339893,4,Let Me Love You,DJ Snake,2776,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-03,gr
3339894,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2631,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-03,gr
