,Position,Track Name,Artist,Streams,URL,Date,Region
445264,36,"How Far I'll Go - From ""Moana""",Alessia Cara,1192,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-02,lt
445265,37,Side To Side,Ariana Grande,1184,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-02,lt
445266,38,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1159,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-02,lt
445267,39,24K Magic,Bruno Mars,1158,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-02,lt
445268,40,All Time Low,Jon Bellion,1137,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-02,lt
445269,41,Lot to Learn,Luke Christopher,1131,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,2017-01-02,lt
445270,42,Solo Dance,Martin Jensen,1115,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-01-02,lt
445271,43,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1109,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-02,lt
445272,44,Make Me (Cry),Noah Cyrus,1106,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2017-01-02,lt
445273,45,Dynamite (feat. Pretty Sister),Nause,1085,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,2017-01-02,lt
445274,46,Cheap Thrills,Sia,1080,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-02,lt
445275,47,I Got You,Bebe Rexha,1033,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2017-01-02,lt
445276,48,Lighthouse - Andrelli Remix,Hearts & Colors,1023,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,2017-01-02,lt
445277,49,Taped Up Heart (feat. Clara Mae),KREAM,1014,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,2017-01-02,lt
445278,50,Not Going Home,DVBBS,1001,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,2017-01-02,lt
445279,1,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3328,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,lt
445280,2,Starboy,The Weeknd,3248,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,lt
445281,3,I Feel It Coming,The Weeknd,2880,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-03,lt
445282,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2560,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-03,lt
445283,5,Closer,The Chainsmokers,2408,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,lt
445284,6,Call On Me - Ryan Riback Extended Remix,Starley,2385,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-03,lt
445285,7,Don't Wanna Know,Maroon 5,2290,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-03,lt
445286,8,Just Hold On,Steve Aoki,2113,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-03,lt
445287,9,Let Me Love You,DJ Snake,2108,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-03,lt
445288,10,Say You Won't Let Go,James Arthur,2001,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-03,lt
445289,11,All Night,The Vamps,1933,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-03,lt
445290,12,Fake Love,Drake,1790,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-03,lt
445291,13,Bad Things (with Camila Cabello),Machine Gun Kelly,1782,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-03,lt
445292,14,Love Me Now,John Legend,1755,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-03,lt
445293,15,Hear Me Now,Alok,1733,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-03,lt
445294,16,All We Know,The Chainsmokers,1728,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-03,lt
445295,17,Starving,Hailee Steinfeld,1705,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-03,lt
445296,18,Now and Later,Sage The Gemini,1603,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-03,lt
445297,19,In the Name of Love,Martin Garrix,1602,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-03,lt
445298,20,Black Beatles,Rae Sremmurd,1534,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-03,lt
445299,21,"How Far I'll Go - From ""Moana""",Alessia Cara,1526,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-03,lt
445300,22,I Would Like,Zara Larsson,1522,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-03,lt
445301,23,Shed a Light,Robin Schulz,1483,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-03,lt
445302,24,Tuesday,Burak Yeter,1477,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-03,lt
445303,25,The Mack,Nevada,1467,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-03,lt
445304,26,By Your Side,Jonas Blue,1463,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-03,lt
445305,27,Sunset Lover,Petit Biscuit,1439,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-03,lt
445306,28,All Time Low,Jon Bellion,1428,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-03,lt
445307,29,Weak,AJR,1426,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-03,lt
445308,30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1371,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-03,lt
445309,31,Mercy,Shawn Mendes,1367,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-03,lt
445310,32,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1362,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-03,lt
445311,33,Chantaje,Shakira,1354,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-03,lt
445312,34,One Dance,Drake,1341,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-03,lt
445313,35,Lot to Learn,Luke Christopher,1281,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,2017-01-03,lt
445314,36,Scars To Your Beautiful,Alessia Cara,1268,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-03,lt
445315,37,Lighthouse - Andrelli Remix,Hearts & Colors,1259,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,2017-01-03,lt
445316,38,Alone,Alan Walker,1239,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-03,lt
445317,39,My Way,Calvin Harris,1237,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-03,lt
445318,40,Solo Dance,Martin Jensen,1236,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-01-03,lt
445319,41,Dynamite (feat. Pretty Sister),Nause,1204,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,2017-01-03,lt
445320,42,Make Me (Cry),Noah Cyrus,1155,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2017-01-03,lt
445321,43,Side To Side,Ariana Grande,1152,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-03,lt
445322,44,I Got You,Bebe Rexha,1152,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2017-01-03,lt
445323,45,Heathens,Twenty One Pilots,1149,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-03,lt
445324,46,Light,San Holo,1145,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,2017-01-03,lt
445325,47,24K Magic,Bruno Mars,1140,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-03,lt
445326,48,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1121,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-03,lt
445327,49,Not Going Home,DVBBS,1078,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,2017-01-03,lt
445328,50,Some Kind Of Drug,G-Eazy,1059,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2017-01-03,lt
445329,51,Taped Up Heart (feat. Clara Mae),KREAM,1051,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA,2017-01-03,lt
445330,52,Setting Fires,The Chainsmokers,1029,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,2017-01-03,lt
445331,53,Cheap Thrills,Sia,1013,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-03,lt
445332,54,Miss You,James Hersey,1013,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje,2017-01-03,lt
445333,1,Starboy,The Weeknd,3447,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-04,lt
445334,2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3212,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-04,lt
445335,3,I Feel It Coming,The Weeknd,3101,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-04,lt
445336,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2609,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-04,lt
445337,5,Closer,The Chainsmokers,2453,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-04,lt
445338,6,Call On Me - Ryan Riback Extended Remix,Starley,2345,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-04,lt
445339,7,Don't Wanna Know,Maroon 5,2176,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-04,lt
445340,8,Let Me Love You,DJ Snake,2172,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-04,lt
445341,9,Say You Won't Let Go,James Arthur,1956,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-04,lt
445342,10,Fake Love,Drake,1943,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-04,lt
445343,11,Just Hold On,Steve Aoki,1910,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-04,lt
445344,12,All We Know,The Chainsmokers,1892,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-04,lt
445345,13,All Night,The Vamps,1802,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-04,lt
445346,14,Starving,Hailee Steinfeld,1779,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-04,lt
445347,15,Black Beatles,Rae Sremmurd,1763,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-04,lt
445348,16,In the Name of Love,Martin Garrix,1696,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-04,lt
445349,17,Hear Me Now,Alok,1677,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-04,lt
445350,18,Tuesday,Burak Yeter,1675,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-04,lt
445351,19,Love Me Now,John Legend,1667,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-04,lt
